Country,NightLights,Pop,id,GridCellArea,ElecPop,WindVel,GHI,TravelHours,Elevation,Slope,ResidentialDemandTierCustom,LandCover,SubstationDist,CurrentHVLineDist,CurrentMVLineDist,RoadDist,X_deg,Y_deg,TransformerDist,PlannedMVLineDist,PlannedHVLineDist,HydropowerDist,Hydropower,HydropowerFID,IsUrban,PerCapitaDemand,HealthDemand,EducationDemand,AgriDemand,ElectrificationOrder,Conflict,CommercialDemand,ResidentialDemandTier1,ResidentialDemandTier2,ResidentialDemandTier3,ResidentialDemandTier4,ResidentialDemandTier5,RoadDistClassified,SubstationDistClassified,LandCoverClassified,ElevationClassified,SlopeClassified,GridClassification,GridPenalty,WindCF,PopStartYear,ElecPopCalib,Pop2025High,Pop2025Low,Pop2030High,Pop2030Low,Pop2018,ElecStart,GridDistCalibElec,Elec_Initial_Status_Grid2018,Elec_Init_Status_Offgrid2018,Actual_Elec_Status_2018,FinalElecCode2018,GridReachYear,MVConnectDist,minTDdist,Pop2025,NewConnections2025,NumPeoplePerHH,Tier,EnergyPerSettlement2025,TotalEnergyPerCell,MG_Hydro2025,MG_PV2025,MG_Wind2025,MG_Diesel2025,SA_Diesel2025,SA_PV2025,Minimum_Tech_Off_grid2025,Minimum_LCOE_Off_grid2025,Off_Grid_Code2025,Elec_Initial_Status_Grid2025,Elec_Init_Status_Offgrid2025,Actual_Elec_Status_2025,Grid2025,new_connections_household,MinGridDist2025,ElectrificationOrder2025,MinimumOverall2025,MinimumOverallLCOE2025,MinimumOverallCode2025,InvestmentCost2025,ElecStatusIn2025,InvestmentCapita2025,GridElecIn2025,OffGridElecIn2025,FinalElecCode2025,NewCapacity2025,InvestmentCostLV2025,InvestmentCostMV2025,Pop2030,NewConnections2030,EnergyPerSettlement2030,MG_Hydro2030,MG_PV2030,MG_Wind2030,MG_Diesel2030,SA_Diesel2030,SA_PV2030,Minimum_Tech_Off_grid2030,Minimum_LCOE_Off_grid2030,Off_Grid_Code2030,Elec_Initial_Status_Grid2030,Elec_Init_Status_Offgrid2030,Actual_Elec_Status_2030,Grid2030,MinGridDist2030,ElectrificationOrder2030,MinimumOverall2030,MinimumOverallLCOE2030,MinimumOverallCode2030,InvestmentCost2030,ElecStatusIn2030,InvestmentCapita2030,GridElecIn2030,OffGridElecIn2030,FinalElecCode2030,NewCapacity2030,InvestmentCostLV2030,InvestmentCostMV2030
Nigeria,0.0,302.354,509250,0.027,0.0,4.6592617,1645.0,1.3516581,15.424805,0.5326213,7.5899963,0,83.032,83.064,2.484,45.821,6.0574245,4.2905536,0,2.484,28.439,17.663973,132.305,55,0,186.74419,0,0,0,0,0,0,9.0,50.930233,186.74419,492.3256,696.0465,2,1,1,5,5,2.95,1.0424618,0.060004205,327.4199,0.0,353.04022,346.55215,372.55893,360.8988,327.4199,0,2.484,0,0,0,99,2018,2.484,2.484,346.55215,346.55215,4.6,4,64716.6,67395.75,99.0,0.2867479,99.0,99,99,0.38599744,MG_PV2025,0.2867479,5.0,0,0,0,0.12153238,78.45626,2.589475,1,Grid2025,0.12153238,1.0,69998.27,0,201.98482,0,0,99.0,0.0,0.0,0.0,360.8988,360.8988,67395.75,99.0,0.28495,99.0,99,99,0.39073658,MG_PV2030,0.28495,5.0,0,0,0,0.11724715,2.589475,1,Grid2030,0.11724715,1.0,71326.836,1,197.63666,1,0,1,10.775321,7242.4136,19938.957
Nigeria,1.2712367,120.9416,674205,0.009,120.9416,4.5015383,1645.0135,0.2980357,13.947755,0.5180396,7.5899963,0,77.069,78.401,0.774,30.154,6.294083,4.2941704,0,0.774,39.844,31.734598,132.305,55,0,186.74419,0,0,0,0,0,0,9.0,50.930233,186.74419,492.3256,696.0465,2,1,1,5,5,2.95,1.0424618,0.052604083,130.96796,130.06035,141.21608,138.62086,149.02357,144.35953,130.96796,1,0.774,1,0,1,1,2018,78.401,0.774,138.62086,8.560516,4.6,4,1598.6267,26958.303,99.0,0.2813297,99.0,99,99,0.75817215,MG_PV2025,0.2813297,5.0,1,0,1,0.039,1.2475353,0.0,0,Grid2025,0.039,1.0,916.50226,1,107.06156,1,0,1.0,0.25559053,78.34437,129.03778,144.35953,5.7386627,1071.6619,99.0,0.27973863,99.0,99,99,0.76748073,MG_PV2030,0.27973863,5.0,1,0,1,0.039,0.0,0,Grid2030,0.039,1.0,610.822,1,106.43978,1,0,1,0.1713387,51.17127,84.28209
Nigeria,1.2712367,1451.2992,674201,0.09,1088.4744,4.607407,1644.5747,0.30176207,16.497057,0.5173152,7.5899963,0,77.096,78.394,0.758,30.421,6.2881064,4.294252,0,0.758,39.368,31.175022,132.305,55,1,186.74419,0,0,0,0,0,0,9.0,50.930233,186.74419,492.3256,696.0465,2,1,1,5,5,2.95,1.0424618,0.057522405,1571.6155,1560.7241,1694.593,1663.4504,1788.2828,1732.3143,1571.6155,1,0.758,1,0,1,1,2018,78.394,0.758,1663.4504,102.72632,4.6,4,19183.543,323499.62,99.0,0.2800571,99.0,99,99,0.75837445,MG_PV2025,0.2800571,5.0,1,0,1,0.039,14.970411,0.0,0,Grid2025,0.039,1.0,10781.212,1,104.95083,1,0,1.0,3.0670898,858.2206,1413.5398,1732.3143,68.86389,12859.932,99.0,0.2785055,99.0,99,99,0.76768553,MG_PV2030,0.2785055,5.0,1,0,1,0.039,0.0,0,Grid2030,0.039,1.0,7188.235,1,104.383224,1,0,1,2.0560627,560.5527,923.26324
Nigeria,0.49002707,1632.7115,674208,0.098,1632.7115,4.5800014,1638.4741,0.29419452,14.577786,0.51804876,7.5899963,0,76.879,78.253,1.139,29.677,6.3018184,4.2955422,0,1.139,40.356,32.378036,132.305,55,1,186.74419,0,0,0,0,0,0,9.0,50.930233,186.74419,492.3256,696.0465,2,1,1,5,5,2.95,1.0424618,0.056229904,1768.0674,1755.8147,1906.4171,1871.3817,2011.8182,1948.8535,1768.0674,1,1.139,1,0,1,1,2018,78.253,1.139,1871.3817,115.56702,4.6,4,21581.469,363937.06,99.0,0.28076908,99.0,99,99,0.76119816,MG_PV2025,0.28076908,5.0,1,0,1,0.039,16.841696,0.0,0,Grid2025,0.039,1.0,12087.501,1,104.593,1,0,1.0,3.4504733,949.8753,1564.5005,1948.8535,77.4718,14467.408,99.0,0.2792202,99.0,99,99,0.7705439,MG_PV2030,0.2792202,5.0,1,0,1,0.039,0.0,0,Grid2030,0.039,1.0,8059.7466,1,104.034584,1,0,1,2.3130682,620.4175,1021.86414
Nigeria,0.0,241.8832,674210,0.027,0.0,4.431176,1642.0,0.11297412,21.0,0.51587576,7.5899963,0,77.055,78.24,1.536,30.933,6.2679715,4.296112,0,1.536,37.676,29.219038,132.305,55,0,186.74419,0,0,0,0,0,0,9.0,50.930233,186.74419,492.3256,696.0465,2,1,1,5,5,2.95,1.0424618,0.049448486,261.9359,0.0,282.43216,277.24173,298.04715,288.71906,261.9359,0,1.536,0,0,0,99,2018,1.536,1.536,277.24173,277.24173,4.6,4,51773.28,53916.605,99.0,0.29075378,99.0,99,99,0.38670266,MG_PV2025,0.29075378,5.0,0,0,0,0.122072235,62.76501,1.6012213,1,Grid2025,0.122072235,1.0,55925.24,0,201.72012,0,0,99.0,0.0,0.0,0.0,288.71906,288.71906,53916.605,99.0,0.288828,99.0,99,99,0.39145046,MG_PV2030,0.288828,5.0,0,0,0,0.11777967,1.6012213,1,Grid2030,0.11777967,1.0,57001.316,1,197.42831,1,0,1,8.620257,6505.542,12329.403
Nigeria,1.5257119,1209.416,674194,0.079,1209.416,4.446308,1642.0,0.14528921,16.0,0.5145557,7.5899963,0,77.123,78.154,0.0,32.151,6.2408457,4.2984257,0,0.0,35.509,26.669312,132.305,55,1,186.74419,0,0,0,0,0,0,9.0,50.930233,186.74419,492.3256,696.0465,2,1,1,5,5,2.95,1.0424618,0.050119363,1309.6796,1300.6035,1412.1609,1386.2086,1490.2357,1443.5952,1309.6796,1,0.0,1,0,1,1,2018,78.154,0.0,1386.2086,85.6051,4.6,4,15986.255,269583.0,99.0,0.3211557,99.0,99,99,0.7595636,MG_PV2025,0.3211557,5.0,1,0,1,0.039,12.4753475,0.0,0,Grid2025,0.039,1.0,14473.478,1,169.0726,1,0,1.0,2.5559034,1183.3062,1948.9749,1443.5952,57.386597,10716.613,99.0,0.27925783,99.0,99,99,0.7688893,MG_PV2030,0.27925783,5.0,1,0,1,0.039,0.0,0,Grid2030,0.039,1.0,6022.743,1,104.95035,1,0,1,1.713386,479.42233,789.6368
Nigeria,1.8426086,483.7664,674198,0.062,483.7664,4.2286105,1642.068,0.14282201,16.475655,0.5145557,7.5899963,0,76.922,77.986,0.782,31.708,6.246821,4.2995243,0,0.782,35.84,27.112972,132.305,55,0,186.74419,0,0,0,0,0,0,9.0,50.930233,186.74419,492.3256,696.0465,2,1,1,5,5,2.95,1.0424618,0.040887654,523.8718,520.2414,564.8643,554.48346,596.0943,577.4381,523.8718,1,0.782,1,0,1,1,2018,77.986,0.782,554.48346,34.242065,4.6,4,6394.507,107833.21,99.0,0.286585,99.0,99,99,0.75953215,MG_PV2025,0.286585,5.0,1,0,1,0.039,4.9901414,0.0,0,Grid2025,0.039,1.0,3925.0996,1,114.628006,1,0,1.0,1.0223621,411.2561,677.363,577.4381,22.95465,4286.6475,99.0,0.28484955,99.0,99,99,0.7688574,MG_PV2030,0.28484955,5.0,1,0,1,0.039,0.0,0,Grid2030,0.039,1.0,2612.5151,1,113.81202,1,0,1,0.6853548,268.61533,442.42523
Nigeria,1.808292,60.4708,674207,0.009,60.4708,4.3840427,1643.0,0.10897822,23.0,0.51489735,7.5899963,11,76.84,77.917,0.925,31.537,6.249084,4.3,0,0.925,35.963,27.279411,132.305,55,0,186.74419,0,0,0,0,0,0,9.0,50.930233,186.74419,492.3256,696.0465,2,1,1,5,5,2.95,1.0424618,0.04738637,65.48398,65.030174,70.60804,69.31043,74.51179,72.17976,65.48398,1,0.925,1,0,1,1,2018,77.917,0.925,69.31043,4.280258,4.6,4,799.31335,13479.151,99.0,0.2880084,99.0,99,99,0.75910133,MG_PV2025,0.2880084,5.0,1,0,1,0.039,0.6237677,0.0,0,Grid2025,0.039,1.0,501.2014,1,117.09606,1,0,1.0,0.12779526,55.39783,91.243484,72.17976,2.8693314,535.83093,99.0,0.2862271,99.0,99,99,0.7684213,MG_PV2030,0.2862271,5.0,1,0,1,0.039,0.0,0,Grid2030,0.039,1.0,333.46432,1,116.216736,1,0,1,0.08566935,36.18355,59.596436
Nigeria,0.5105876,60.4708,674195,0.009,60.4708,4.570475,1638.0,0.30780187,16.0,0.518776,7.5899963,11,76.377,77.764,1.216,29.125,6.304083,4.3,0,1.216,40.202,32.335552,132.305,55,0,186.74419,0,0,0,0,0,0,9.0,50.930233,186.74419,492.3256,696.0465,2,1,1,5,5,2.95,1.0424618,0.055783775,65.48398,65.030174,70.60804,69.31043,74.51179,72.17976,65.48398,1,1.216,1,0,1,1,2018,77.764,1.216,69.31043,4.280258,4.6,4,799.31335,13479.151,99.0,0.28877902,99.0,99,99,0.76141846,MG_PV2025,0.28877902,5.0,1,0,1,0.039,0.6237677,0.0,0,Grid2025,0.039,1.0,501.2014,1,117.09606,1,0,1.0,0.12779526,55.39783,91.243484,72.17976,2.8693314,535.83093,99.0,0.28699443,99.0,99,99,0.7707669,MG_PV2030,0.28699443,5.0,1,0,1,0.039,0.0,0,Grid2030,0.039,1.0,333.46432,1,116.216736,1,0,1,0.08566935,36.18355,59.596436
Nigeria,0.0,2479.3027,509247,0.123,0.0,4.730056,1642.2052,1.5189188,20.316675,0.5344499,7.5899963,0,83.412,83.253,2.476,48.065,6.023914,4.300832,0,2.476,27.246,16.861464,132.305,55,1,186.74419,0,0,0,0,0,0,9.0,50.930233,186.74419,492.3256,696.0465,2,1,1,5,5,2.95,1.0424618,0.063467704,2684.843,0.0,2894.9297,2841.7278,3054.9832,2959.37,2684.843,0,2.476,0,0,0,99,2018,2.476,2.476,2841.7278,2841.7278,4.6,4,530676.1,552645.2,99.0,0.27894476,99.0,99,99,0.38665435,MG_PV2025,0.27894476,5.0,0,0,0,0.07224879,643.3413,2.5811353,1,Grid2025,0.07224879,1.0,321507.53,0,113.13805,0,0,99.0,0.0,0.0,0.0,2959.37,2959.37,552645.2,99.0,0.27744213,99.0,99,99,0.39140156,MG_PV2030,0.27744213,5.0,0,0,0,0.07096698,2.5811353,1,Grid2030,0.07096698,1.0,332109.06,1,112.22289,1,0,1,88.35763,44341.535,19874.742
Nigeria,0.0,60.4708,674197,0.009,0.0,4.701763,1642.0,1.4956177,20.688543,0.5344499,7.5899963,0,83.217,83.08,2.597,47.675,6.028256,4.3008337,0,2.597,27.239,16.771946,132.305,55,0,186.74419,0,0,0,0,0,0,9.0,50.930233,186.74419,492.3256,696.0465,2,1,1,5,5,2.95,1.0424618,0.06207323,65.48398,0.0,70.60804,69.31043,74.51179,72.17976,65.48398,0,2.597,0,0,0,99,2018,2.9574578,2.597,69.31043,69.31043,4.6,4,12943.32,13479.151,99.0,0.32290077,99.0,99,99,0.38670266,MG_PV2025,0.32290077,5.0,0,0,0,0.22692537,15.691253,0.50190115,2,Grid2025,0.22692537,1.0,26125.008,0,376.9275,0,0,99.0,0.0,0.0,0.0,72.17976,72.17976,13479.151,99.0,0.31961307,99.0,99,99,0.39145046,MG_PV2030,0.31961307,5.0,0,0,0,0.21616104,0.50190115,2,Grid2030,0.21616104,1.0,26398.877,1,365.7379,1,0,1,2.1550643,1953.8135,4215.9697
Nigeria,1.808292,60.4708,674332,0.009,60.4708,4.202184,1640.8696,0.076748684,18.739328,0.51418704,7.5899963,11,76.636,77.721,0.922,31.285,6.2507505,4.301667,0,0.922,35.944,27.315077,132.305,55,0,186.74419,0,0,0,0,0,0,9.0,50.930233,186.74419,492.3256,696.0465,2,1,1,5,5,2.95,1.0424618,0.03982968,65.48398,65.030174,70.60804,69.31043,74.51179,72.17976,65.48398,1,0.922,1,0,1,1,2018,77.721,0.922,69.31043,4.280258,4.6,4,799.31335,13479.151,99.0,0.28833616,99.0,99,99,0.7600869,MG_PV2025,0.28833616,5.0,1,0,1,0.039,0.6237677,0.0,0,Grid2025,0.039,1.0,501.2014,1,117.09606,1,0,1.0,0.12779526,55.39783,91.243484,72.17976,2.8693314,535.83093,99.0,0.28655347,99.0,99,99,0.76941895,MG_PV2030,0.28655347,5.0,1,0,1,0.039,0.0,0,Grid2030,0.039,1.0,333.46432,1,116.216736,1,0,1,0.08566935,36.18355,59.596436
Nigeria,2.3315883,35314.945,509246,1.306,35314.945,4.1358666,1635.9205,0.27161953,11.8468685,0.5173129,86.64125,11,75.444,76.788,0.0,28.57,6.2938766,4.3018613,0,0.0,38.64,30.551958,132.305,55,2,186.74419,0,0,0,0,0,0,9.0,50.930233,186.74419,492.3256,696.0465,2,1,1,5,5,2.95,1.0424618,0.03723582,38242.645,37977.62,51118.01,50178.582,62891.586,60923.246,38242.645,1,0.0,1,0,1,1,2018,76.788,0.0,50178.582,12200.961,4.0,3,2278458.5,11377062.0,99.0,0.28262654,99.0,99,99,0.38813975,MG_PV2025,0.28262654,5.0,1,0,1,0.039,2686.166,0.0,0,Grid2025,0.039,1.0,1324188.2,1,108.53147,1,0,1.0,364.28293,79815.195,131460.33,60923.246,10744.664,2006503.5,99.0,0.2802636,99.0,99,99,0.56079084,MG_PV2030,0.2802636,5.0,1,0,1,0.039,0.0,0,Grid2030,0.039,1.0,1147622.4,1,106.808586,1,0,1,320.8024,62533.445,102996.26
Nigeria,2.7691352,181.4124,674199,0.018,181.4124,4.190417,1637.7388,0.11557434,6.767346,0.51445675,7.5899963,0,76.666,77.718,0.0,31.571,6.2449174,4.3020835,0,0.0,35.487,26.772457,132.305,55,0,186.74419,0,0,0,0,0,0,9.0,50.930233,186.74419,492.3256,696.0465,2,1,1,5,5,2.95,1.0424618,0.03936302,196.45193,195.09052,211.82413,207.9313,223.53535,216.53929,196.45193,1,0.0,1,0,1,1,2018,77.718,0.0,207.9313,12.84079,4.6,4,2397.9429,40437.453,99.0,0.2848287,99.0,99,99,0.76153994,MG_PV2025,0.2848287,5.0,1,0,1,0.039,1.8713014,0.0,0,Grid2025,0.039,1.0,1422.8783,1,110.80925,1,0,1.0,0.38338622,135.69658,223.50024,216.53929,8.607986,1607.4915,99.0,0.2831623,99.0,99,99,0.7708899,MG_PV2030,0.2831623,5.0,1,0,1,0.039,0.0,0,Grid2030,0.039,1.0,947.66425,1,110.09128,1,0,1,0.25700784,88.63116,145.98073
Nigeria,0.0,2963.069,509227,0.167,0.0,4.599198,1631.3394,0.457766,11.388221,0.5207795,7.5899963,2,76.061,77.611,4.488,27.785,6.33359,4.3024216,0,4.488,42.492,35.05988,132.305,55,1,186.74419,0,0,0,0,0,0,9.0,50.930233,186.74419,492.3256,696.0465,2,1,4,5,5,3.55,1.0773642,0.05713385,3208.7148,0.0,3459.7942,3396.2112,3651.0774,3536.8083,3208.7148,0,4.488,0,0,0,99,2018,4.488,4.488,3396.2112,3396.2112,4.6,4,634222.7,660478.4,99.0,0.28076774,99.0,99,99,0.38922974,MG_PV2025,0.28076774,5.0,0,0,0,0.0741527,768.8714,4.8352103,1,Grid2025,0.0741527,1.0,396520.03,0,116.75364,0,0,99.0,0.0,0.0,0.0,3536.8083,3536.8083,660478.4,99.0,0.27926382,99.0,99,99,0.39400855,MG_PV2030,0.27926382,5.0,0,0,0,0.07276358,4.8352103,1,Grid2030,0.07276358,1.0,409257.6,1,115.71382,1,0,1,105.598145,56300.938,37231.12
Nigeria,0.0,60.4708,674196,0.009,0.0,3.97466,1635.0,0.14299028,6.0,0.5165333,7.5899963,11,76.238,77.494,0.0,29.691,6.28075,4.3025002,0,0.0,38.145,29.991606,132.305,55,0,186.74419,0,0,0,0,0,0,9.0,50.930233,186.74419,492.3256,696.0465,2,1,1,5,5,2.95,1.0424618,0.031301454,65.48398,65.030174,70.60804,69.31043,74.51179,72.17976,65.48398,1,0.0,1,0,1,1,2018,77.494,0.0,69.31043,4.280258,4.6,4,799.31335,13479.151,99.0,0.28924367,99.0,99,99,0.7628156,MG_PV2025,0.28924367,5.0,1,0,1,0.039,0.6237677,0.0,0,Grid2025,0.039,1.0,501.2014,1,117.09606,1,0,1.0,0.12779526,55.39783,91.243484,72.17976,2.8693314,535.83093,99.0,0.2874571,99.0,99,99,0.77218115,MG_PV2030,0.2874571,5.0,1,0,1,0.039,0.0,0,Grid2030,0.039,1.0,333.46432,1,116.216736,1,0,1,0.08566935,36.18355,59.596436
Nigeria,0.0,362.8248,674324,0.018,0.0,4.805969,1642.0,1.7747492,18.0,0.5374237,7.5899963,0,83.689,83.471,2.213,48.897,6.0132565,4.3029203,0,2.213,27.034,16.913729,132.305,55,0,186.74419,0,0,0,0,0,0,9.0,50.930233,186.74419,492.3256,696.0465,2,1,1,5,5,2.95,1.0424618,0.06727572,392.90387,0.0,423.64825,415.8626,447.0707,433.07858,392.90387,0,2.213,0,0,0,99,2018,2.213,2.213,415.8626,415.8626,4.6,4,77659.92,80874.91,99.0,0.28256717,99.0,99,99,0.38670266,MG_PV2025,0.28256717,5.0,0,0,0,0.106561124,94.147514,2.306968,1,Grid2025,0.106561124,1.0,72794.1,0,175.04364,0,0,99.0,0.0,0.0,0.0,433.07858,433.07858,80874.91,99.0,0.28090754,99.0,99,99,0.39145046,MG_PV2030,0.28090754,5.0,0,0,0,0.10314894,2.306968,1,Grid2030,0.10314894,1.0,74345.555,1,171.66759,1,0,1,12.930386,6457.342,17763.652
Nigeria,0.28740215,60.4708,674331,0.009,60.4708,3.1212678,1610.0,2.0333333,14.0,0.5163397,7.5899963,2,77.473,78.22,2.182,34.514,6.1915855,4.3033338,0,2.182,31.866,22.285036,132.305,55,0,186.74419,0,0,0,0,0,0,9.0,50.930233,186.74419,492.3256,696.0465,2,1,4,5,5,3.55,1.0773642,0.0089579085,65.48398,65.030174,70.60804,69.31043,74.51179,72.17976,65.48398,0,2.182,0,0,0,99,2018,2.182,2.182,69.31043,69.31043,4.6,4,12943.32,13479.151,99.0,0.32792172,99.0,99,99,0.39438868,MG_PV2025,0.32792172,5.0,0,0,0,0.2342769,15.691253,0.6056005,2,Grid2025,0.2342769,1.0,26996.082,0,389.49524,0,0,99.0,0.0,0.0,0.0,72.17976,72.17976,13479.151,99.0,0.3246125,99.0,99,99,0.39923084,MG_PV2030,0.3246125,5.0,0,0,0,0.3130458,2.3508086,1,Grid2030,0.3130458,1.0,40284.133,1,558.1084,1,0,1,2.1550643,1953.8135,18101.227
Nigeria,2.7691352,60.4708,674333,0.009,60.4708,4.046464,1636.2753,0.09379869,4.376463,0.51418704,7.5899963,0,76.495,77.561,0.531,31.311,6.2474174,4.3033338,0,0.531,35.562,26.90874,132.305,55,0,186.74419,0,0,0,0,0,0,9.0,50.930233,186.74419,492.3256,696.0465,2,1,1,5,5,2.95,1.0424618,0.0338792,65.48398,65.030174,70.60804,69.31043,74.51179,72.17976,65.48398,1,0.531,1,0,1,1,2018,77.561,0.531,69.31043,4.280258,4.6,4,799.31335,13479.151,99.0,0.28904593,99.0,99,99,0.76222104,MG_PV2025,0.28904593,5.0,1,0,1,0.039,0.6237677,0.0,0,Grid2025,0.039,1.0,501.2014,1,117.09606,1,0,1.0,0.12779526,55.39783,91.243484,72.17976,2.8693314,535.83093,99.0,0.2872602,99.0,99,99,0.7715793,MG_PV2030,0.2872602,5.0,1,0,1,0.039,0.0,0,Grid2030,0.039,1.0,333.46432,1,116.216736,1,0,1,0.08566935,36.18355,59.596436
